group,item,category,adjective,sentence,context,salience,visual_stimuli,condition,correct_response
A,1,experimental,Broken,"The military airplane, after years of use, was broken",strict,low,Broken_low.png,strict-low,1
A,2,experimental,Clean,This plate for the restaurant's opening is clean.,strict,high,Clean_high.png,strict-high,5
A,3,experimental,Dry,The towel that was in the broken dryer is dry.,lenient,low,Dry_low.png,lenient-low,1
A,4,experimental,Empty,The bowl for snacks is empty.,lenient,high,Empty_high.png,lenient-high,5
A,5,experimental,Nude,The ancient greek sculpture is nude.,strict,low,Nude_low.png,strict-low,1
A,6,experimental,Rotten,This fruit that just came from a food safety inspection is rotten.,strict,high,Rotten_high.png,strict-high,5
A,7,experimental,Fresh,The bread from the oven is fresh.,lenient,low,Fresh_low.png,lenient-low,1
A,8,experimental,Transparent,The window in the bathroom is transparent.,lenient,high,Transparent_high.png,lenient-high,5
A,9,experimental,Indistinguishable,The materials are indistinguishable after being packaged at the factory.,strict,low,Indistinguishable_low.png,strict-low,1
A,10,experimental,Pure,The diamond from the mines is pure.,strict,high,Pure_high.png,strict-high,5
A,11,experimental,Straight,The line that was drawn with a ruler is straight.,lenient,low,Straight_low.png,lenient-low,1
A,12,experimental,Limp,My foot is limp after the accident.,lenient,high,Numb_high.png,lenient-high,5
A,13,experimental,Correct,The carpenter found the correct piece for building the furniture.,strict,low,Correct_low.png,strict-low,1
A,14,experimental,Fine,The phone that fell from the 5th floor is fine.,strict,high,Fine_high.png,strict-high,5
A,15,experimental,Fake,The painting that is displayed in the museum is fake.,lenient,low,Fake_low.png,lenient-low,1
A,16,experimental,Wet,The clothes are wet after walking in the thunderstorm for an hour.,lenient,high,Wet_high.png,lenient-high,5
A,17,experimental,Flat,The sheet in the hotel room is flat,strict,low,Flat_low.png,strict-low,1
A,18,experimental,Covered,The sofa that is wrapped in a dustproof sheet is covered.,strict,high,Covered_high.png,strict-high,5
A,19,experimental,Identical,The twins look identical.,lenient,low,identical_low.png,lenient-low,1
A,20,experimental,Full,The store is full on Black Friday.,lenient,high,Full_high.png,lenient-high,5
A,21,experimental,Dirty,The table in the lab is dirty.,strict,low,Dirty_low.png,strict-low,1
A,22,experimental,Clear,The roads are clear during the curfew.,strict,high,Clear_high.png,strict-high,5
A,23,experimental,Organized,The shelf in the archives section is organized.,lenient,low,Organized_low.png,lenient-low,1
A,24,experimental,Blank,The newly bought canvas is blank.,lenient,high,Blank_high.png,lenient-high,5
A,26,filler,Seedling,"For the entry to the annual seedling competition, the plant is a seedling.",strict,high,seedling.high.png,strict-high,5
A,28,filler,Sharp,"This knife is for cutting meat in a restaurant, and the knife is sharp.",lenient,high,sharp.high.png,lenient-high,5
A,30,filler,dark,The room with the lights dimmed for a movie is dark.,strict,high,dark.high.png,strict-high,5
A,32,filler,deaf,The girl with the ear injury is deaf,lenient,high,deaf.high.png,lenient-high,5
A,34,filler,ripe,The banana just picked from the tree is ripe.,strict,high,ripe.high.png,strict-high,5
A,36,filler,alert,The dog lying quietly but with ears perked is alert.,lenient,high,alert.high.png,lenient-high,5
A,38,filler,old,The abandoned building with broken windows is old.,strict,high,old.high.png,strict-high,5
A,40,filler,Contaminated,The red-snapper from the lake is contaminated.,lenient,high,contaminated.high.png,strict-high,5
A,42,filler,Suspicious,The bag at the airport is suspicious,strict,high,suspicious.high.png,strict-high,5
A,44,filler,quiet,The room where students are taking an exam is quiet.,lenient,high,quiet.high.png,lenient-high,5
A,46,filler,round,The rock used in a precision machine part is round.,strict,high,round.high.png,strict-high,5
